说话人01(00:00:00): 第四把。

说话人02(00:00:01): 我觉得可以！

说话人01(00:00:03): 567。不还是一样吗？

说话人03(00:00:08): 567 ok。那让我瞄一瞄，我要把你们创建在地图上。

说话人01(00:00:32): 右边那个地图看的，我老是想跑桌想玩桌游，我服了。

说话人03(00:00:51): 真是正确换到。

说话人02(00:00:59): 哪来的猫猫？

说话人01(00:00:59): 还有叫猫猫的？

说话人02(00:01:01): 那他要狗狗？

说话人03(00:01:06): 狗狗为什么会有猫格障碍？

说话人01(00:01:11): 我是一只认为自己是猫的狗。我是一只老鼠。

说话人03(00:01:24): 我他妈的气死了。

说话人01(00:01:27): 你不懂第一个患病的人名字叫猫格障。

说话人03(00:01:32): 太对了，我给你讲苦死这个编组到一起编组好的。

说话人01(00:01:44): 等一会，如果要分开行动怎么办？

说话人03(00:01:47): 待会儿再说分头行动的事。

说话人02(00:01:48): 我不可能跟甲虫分开行动的。

说话人03(00:01:49): 分头行动的事，然后我们的定居点，河谷里面。定居点的话流速度90度10-12。

说话人02(00:02:11): 我和我。

说话人02(00:02:27): 我们今天跑12码蛮好。

说话人03(00:02:30): 1212是定居点去接任务线？

说话人02(00:02:33): 好！

说话人01(00:02:34): 到家了，到家了睡就睡，先吃饭吧！我要来个探。

说话人03(00:02:40): 我们的柳树渡是一个有百来只小鼠的小村庄，由市议员会议治理是你们的大本营，我们地图已经定了，现在你们逃不出这块地图了。

说话人01(00:02:59): 是预约我服了。

说话人03(00:03:02): 镇上里12这一块镇上是十分的安全，没有阴谋，没有战斗，居民会酿造蜂蜜酒。

说话人02(00:03:09): 也没有猫。

说话人03(00:03:12): 肯定没有猫居你们这一片居住地没有猫的派系。

说话人02(00:03:19): 太好了！

说话人03(00:03:20): 对只有仙灵的派系，属蛇的派系。

说话人01(00:03:26): 那我这只狗怎么办？太坏了。

说话人03(00:03:28): 你这只狗等着被你被人类收去！

说话人01(00:03:35): 那很好，到时候我就把大家带了过来。

说话人03(00:03:42): 村里的产业是蜂蜜酒，还有那种草药调味，你们在村口老远就能闻到了。村口也立着一块任务板，盯着什么商队失踪老鼠远方骑士的各种告示，想接什么任务，接什么委托都可以来这边看一看的。你们时常去一个叫做弯曲奶酪的酒馆，那里有招牌菜厚切和鱼排2楼，是你们常睡的大通铺比较便宜。

说话人02(00:04:22): 好！

说话人03(00:04:22): 暂时不收你们大通铺的费用，只是待会你们出行的话。

说话人01(00:04:26): 那就好。

说话人03(00:04:27): 那就要消费了。

说话人01(00:04:29): 那就不好。

说话人03(00:04:33): 让我 cc 本次你们是受约在小酒馆门口前跟另外一只鼠碰面，这只鼠上来了，你们看它的全身都剃光了毛发，它还自称是秃毛。

说话人01(00:04:58): 五毛狗还有？

说话人03(00:05:00): 那是鼠真该走你了。父王说，他一路从卓权墓地跑过来找你们，足球墓地是在哪里？

说话人01(00:05:15): 跑过来找我们吗？

说话人03(00:05:18): 你一边死去吧！

说话人01(00:05:24): 多大仇恨？从密封镇来的吗？

说话人03(00:05:28): 抽签目的是16位16，从你们是现在是12-16的话往下走两格往下一格，然后再往左一格 ok17嘛17是牛骨架还好。

说话人02(00:05:48): 我靠，我不会路过17还是打一架，我不去。

说话人03(00:05:52): 难说！

说话人01(00:05:55): 加油小玉！

说话人03(00:05:55): 对他说，你们看他的两只鼠耳动的也有些发紫。站的都有想点，有些想打瞌睡了，说话。觉着他那个破斗篷的边，我们那最近那个墓地那群老鼠疯了，他们把活着的老鼠也要往深处坟里面拖我的养兄弟被已经被关在地里面做狐狸了。求求你们去看看，帮我把它救出来。他的右耳朵是缺了一只脚的比较偏灰色，然后从他的怀里拿出了森北皮普，这是我自己的积蓄，你们帮我一定要帮我把我的兄弟救出来！

说话人02(00:06:49): 我们会的。

说话人03(00:06:52): 好好好！然后你们有什么想做的吗？

说话人02(00:07:01): 我去300皮肤干了，我们之前接什么任务？你们一个人20块钱的。

说话人01(00:07:07): 怎么能把这300皮肤拿出去外包吗？

说话人03(00:07:12): 你确实可以起雇佣制，雇佣的话稍等我看一下。

说话人02(00:07:22): 这个是结束之后才会给我们吧。

说话人03(00:07:25): 对！

说话人02(00:07:25): 现金多给定金还不一定给定金？

说话人03(00:07:27): 你你自己的话一个42一个209。我说白了你你也不够钱！

说话人02(00:07:42): 对！

说话人03(00:07:42): 招募帮手的话，招募需要招募能战斗的话得骑士的话日薪是25皮普。

说话人01(00:07:54): 好贵走吧**咱们日日一个任务就赚300好多走走走！

说话人02(00:08:05): 我们到时候如果去搜刮之后给他带出来还得分给骑士一点，不然的话到时候人家问你可怎么办？

说话人03(00:08:12): 不用分故宫的话雇佣日志上是给他付日薪就他是赚日薪的，不是跟你赚分瓜的宝藏的。当然不排除有些人是贪心的，得看他有没有那么忠诚吧，忠诚。

说话人02(00:08:33): 我已经有个终身甲虫帮我驮东西了。

说话人03(00:08:52): 16。本次将采用比较完整一点的规则，你们需要去。荒野旅行。每一格是一个守望秃毛是不会跟着你们一块去的，你们从12~17出发一个守望消耗掉你们的一份。不对你们干粮其实不够，你们要不要在定居点先补充干粮？

说话人02(00:09:45): 好！

说话人01(00:09:46): 买买买钱都到手了。

说话人02(00:09:50): 我们是不是还得把回城的概念也补了？

说话人01(00:09:54): 我的力量为什么是三？

说话人03(00:09:54): 不一定，因为你们可以在路途上花一手望去觅食的话可以揉第三份干粮。

说话人02(00:10:05): 我们现在过去的话是必须要赶时间。

说话人03(00:10:09): 过去的话，你们至少得走两手望，如果你们想加速的话，要雇佣交通，这边快歌是普遍是从10谱到100谱之间的。好像也不一定要像体面的可以像样的水平的话，由于直往下飞，然后往右两格。乘2×4你们可以揉个低10。

说话人01(00:10:53): 都交给你了，小鱼。

说话人02(00:10:55): 我扔第一行吗？

说话人01(00:10:55): 你算我的运气的？

说话人02(00:10:57): 是扔的越低越？

说话人03(00:11:00): 对因为它是乘以你的价格的3×4。Ok 342然后再算上全部乘客12×4×4。48。48普谁出？

说话人02(00:11:30): 我觉得要不我们走过去吧！

说话人01(00:11:33): 我来出。

说话人03(00:11:34): 你们走过去，你们的口粮花销就不止那么点了，不一定。

说话人01(00:11:39): 我来出。

说话人02(00:11:40): 那我来吧，你哪有那么多钱？

说话人03(00:11:42): 还有42？

说话人01(00:11:43): 我正好。

说话人03(00:11:45): 你再付六皮肤就够了。

说话人02(00:11:47): Ok那我再敷六皮肤给他扣完。

说话人01(00:11:50): 对我是狗大铺。

说话人02(00:11:52): 行，我那我这边先自己扣了，我减六了。

说话人03(00:11:55): 我给你剪了。

说话人01(00:11:58): 钱财乃身外之物。

说话人03(00:12:06): 那我 cc。

说话人01(00:12:13): 他在钱包多加两个零。

说话人03(00:12:16): 就度过一个守望？路图上没什么好看的，下面17是一个牛大骨。有几丛野花骨架里还挂着鸟巢？

说话人02(00:12:35): 这还能 ob 的？

说话人03(00:12:41): 有鸟在这边产崽子来着的。

说话人01(00:12:46): 挺好！哪天过来抽点蛋？

说话人03(00:12:48): 飞去靠近卓泉墓地的时候，能远远望见山坡上的木门，立着蜡烛头浇成的这一个喷泉也是蛮有特色的一个地区。我数数把你们不对鸽子把你们四个放下来，那你们先看一看入口处。它停在附近的灌木丛入口处是一个褪色的灰袜子。

说话人03(00:13:47): 稍等我看一下。锁定一下。袜口？等等是这样子。

说话人03(00:14:15): 这么个方向。

说话人01(00:14:23): 那我们先四处转转。

说话人03(00:14:38): 有点小混乱。

说话人02(00:14:44): 比我大很多。地图创建失败重新生成地图中。

说话人01(00:15:01): 我这边网络好卡！

说话人03(00:15:04): 生成有点久给我整的有点小忘了。诶，怎么跟着也快斜着了？袜子一双臭的灰袜子是盈利的袜子。

说话人01(00:15:32): 原来是人类的。

说话人02(00:15:35): 我靠，原来这个字是人类的意思吗？还想盈利是什么？

说话人01(00:15:44): 这是他的帘子？这不得上去玩玩。

说话人02(00:15:51): 我想要我自己闻去，我才不要闻！

说话人01(00:15:56): 教育这件伟大的事情就交给你来做了。

说话人02(00:15:59): 我才不干，我都雇佣甲虫了。

说话人01(00:16:01): 你要知道？

说话人02(00:16:02): 你觉得我会闻这种东西吗？

说话人01(00:16:05): 有些人怎么说来着，生死什么轻于鸿毛，重于泰山什么的全忘了。

说话人02(00:16:12): 然后不管。

说话人03(00:16:13): 袜子是必经之路。

说话人01(00:16:17): 来都来了就去闻闻！

说话人02(00:16:20): 你去闻吧，我憋着气过去。

说话人01(00:16:22): 我问问麻雀去不去小麻，你去不去？

说话人03(00:16:27): 小马不是跟你的吗？你想让我在这里给他过个士气吗？

说话人02(00:16:31): 到了人家那一只大失败直接丢下你跑了怎么办？

说话人01(00:16:37): 完蛋只能说袜子是杀伤性武器，我能把它带走。

说话人02(00:16:44): 很大带不走人类的袜子。

说话人01(00:16:47): 为什么那在那待着也不是办法！你为什么就不能去闻闻？

说话人02(00:16:57): 求人不能求己。

说话人01(00:16:57): 那谁是子那事已至此我就不闻，然后直接先开袜子看能不能过去吧。

说话人03(00:17:06): 有袜子洞口很大的。这附近也能看到一个小是大的蜡烛喷泉隔老远就能闻到这个容蜡的味道是这里最醒目的这个地标，顺着袜筒往里面爬尽头又是一段向上的管道。太曼妙了。

说话人01(00:17:35): 那这里最不醒要醒目的地标是哪？我脚下吗？

说话人03(00:17:41): 最不醒目的可能就是我服了。Ok这么个对接法又转过一个管道！这个管道的内壁是融过又凝固的蜡比较光滑，还略微倾斜，需要缓慢挪动攀爬来过一个。

说话人02(00:18:17): 折磨！

说话人03(00:18:19): 或敏捷豁免。现在我们的基础制投规则改成了3d6不用 roll d20了，虽然3d6好像成功度没有降，没有提升很多吧 roll 吧。两位过敏捷豁免依然是比这小于等于。

说话人01(00:18:42): 点23d6不早说，害我上了重打，有我完蛋了。

说话人03(00:18:50): 过了吗？

说话人01(00:18:52): 我看一眼好久没开了，敏捷没过。骗你的，不然啥都没做。

说话人03(00:19:08): 小玉也没过？

说话人02(00:19:09): 我过了我6点。

说话人03(00:19:11): 小玉其实是你的甲缝过，不过无所谓，你的甲缝过了吗？

说话人02(00:19:15): 我看一下我家从没过。

说话人03(00:19:18): 你的甲虫是七？

说话人02(00:19:20): 没有我讲的是五，敏捷是五！

说话人03(00:19:22): 我甲虫没过没事，你把他捅，你把他拉住了，让他拉着过来，麻雀也不过麻雀是六的。

说话人01(00:19:36): 麻雀大人。

说话人03(00:19:37): 我去你让麻雀也揉一揉吧，麻雀驮着你过去的！

说话人01(00:19:44): 点23第6，看看麻雀大人有没有这么强的意志力！

说话人03(00:19:48): 集成物和本属总有一个能过？

说话人01(00:19:51): 十一兄弟们，这谁能过？麻雀和我总得死一个！麻雀你上麻雀？

说话人03(00:20:03): 肯定是麻雀爬着滚回了袜子口。你们就带你们就滚！

说话人02(00:20:14): 还有过山车玩的滑滑梯。

说话人03(00:20:17): 没事稍等，小玉去到了洞口，而狗狗麻雀还在这里。

说话人01(00:20:28): 只能由你去闻一闻袜子了？

说话人02(00:20:31): 我们穿过袜子了，我这个时候。

说话人03(00:20:34): 袜子没什么味道，早就闻过了，有味道。

说话人01(00:20:38): 这样的味道。

说话人03(00:20:39): 你们肯定要过抑制或免了。

说话人02(00:20:43): 他现在是不是还得过敏捷鉴定？

说话人03(00:20:46): 别急，先过你这边，因为你已经爬上去了，爬上去时能看到门口就是坟到墓地的门口。有一只皮毛泛光的瘦小老鼠在洞口边儿。他，我看看。他抬起的鼠耳向周围听听又看看你由于是刚爬上来，很快和甲虫一块缩回去，当然你要是不想缩回去的话也没关系。他就没有再继续做什么，可能当自己幻听了表。

说话人02(00:22:00): 所以个我麻雀现在上来是不是还得过个敏捷？

说话人01(00:22:04): 没事，你先去吧！

说话人02(00:22:06): 不是。

说话人01(00:22:06): 我在后外面。

说话人02(00:22:06): 我想问一下，如果你要过敏节的话，我在这边等你一下，因为个木杆子可以让你帮就让你抓一下。

说话人03(00:22:13): 万一你突袭能把这只鼠给弄细？

说话人01(00:22:16): 你要相信我们的羁绊，这是一个袜子能挡我们一次能挡我们两次能挡我们三次吗？

说话人03(00:22:24): 袜子没有在阻挡你们***是管道。

说话人01(00:22:26): 77对777这个缝不是袜子和那个？

说话人03(00:22:32): 小玉这边可以观察得到洞口下方是个石台阶比较黑。

说话人02(00:22:42): 到时候又得用火把了，没关系，先等狗狗麻雀上来吧，要突围一起突围！

说话人03(00:22:50): 你可以让甲虫下去帮帮忙一起甲虫抓地力其实还对于这种地形。

说话人01(00:22:59): 三个人抬。

说话人02(00:22:59): 如果他下去帮忙，我要过他的敏捷吗？要过我就不让他下去了。

说话人03(00:23:03): 不用！

说话人02(00:23:04): 不然。

说话人03(00:23:04): 给他加一个优势，他投三。他投两次3d6。

说话人01(00:23:07): 好强！

说话人02(00:23:09): 好！

说话人03(00:23:09): 两次三个月还不过。

说话人02(00:23:09): 放假可以开始帮忙。

说话人03(00:23:11): 我就没辙了孩子。

说话人01(00:23:13): 来我来相信我的头晕，第一次没过！

说话人03(00:23:18): 不是纯菜吗？

说话人01(00:23:19): 没事，第一次变一下来第二次哈。

说话人02(00:23:27): 相信我的头晕。

说话人03(00:23:30): 没过来。

说话人02(00:23:36): 都没过来？

说话人03(00:23:38): 再投一次，这一个甲虫捞不上来，你他捞另外一个？

说话人02(00:23:44): 我有木杆，我有木杆让他借力。

说话人03(00:23:48): 不用了，优势只能加一次再投另外一个看到锁头了！

说话人01(00:23:54): 我去死吧！

说话人02(00:23:57): 现在怎么锁头了？那我看能不能我把它拉起来拉上来吧。

说话人03(00:24:02): 再继续！

说话人02(00:24:03): 我过个力量可以吗？给他拉上来。

说话人03(00:24:06): 继续吧，再让他再投一次吧，你的距离不够的。

说话人01(00:24:09): 不是你们只想看我没事，最后一次前面几次都是逗你们玩的，我告诉你们。

说话人03(00:24:19): 小子能不能实力？

说话人02(00:24:31): 谁能想到你要给狗狗困死了？

说话人01(00:24:34): 朋友们，这里为什么有个缝？

说话人02(00:24:40): 这不是缝？

说话人01(00:24:40): 第一次。

说话人02(00:24:41): 这是管道，吊车爬的管道！

说话人01(00:24:43): 这什么军师？

说话人03(00:24:44): 笑死我了怎么有区？

说话人02(00:24:50): 那我试试能给他？

说话人01(00:24:51): 怎么我真是7月？

说话人02(00:24:52): 我能不能用木杆子给他拉上来，让他抓着木杆，我给他拉上来看看。

说话人03(00:24:55): 没事，我给他算一个疲惫。

说话人01(00:25:01): 天，我跟小玉说小玉，你看这就是我的天敌，我也不知道为什么这是一个管道。

说话人03(00:25:12): 给你上疲惫。

说话人01(00:25:12): 为什么是狗的天敌，可能是我体型太大了。

说话人03(00:25:15): 最后有两个宠物，两个骑宠来回交替，把你驮上来。

说话人01(00:25:22): 孩子们等我出去的时候是不是也要过猴子？

说话人02(00:25:25): 不用是个可以滑滑梯滑下去。

说话人03(00:25:27): 没有，那你你们两个都注意得到了。

说话人01(00:25:32): 上神秘园了一会儿。

说话人03(00:25:37): 这里的话有一个皮毛泛光的白小鼠在那边守着，当然对于对我来说是小鼠对你们来说是常规老鼠。

说话人01(00:25:51): 对我来说也是小手术，我是狗狗。

说话人02(00:25:52): 豆豆我们直接给他打死吗？

说话人03(00:25:58): 你不用这么残暴也可以打晕的申明非是命。

说话人01(00:26:03): 那咱们我记得咱们是来调查，而不是来战斗的。

说话人02(00:26:07): 我那我不是接到委托说要把他的。

说话人03(00:26:12): 兄弟。

说话人02(00:26:13): 被兄弟鼠给救出来嘛？

说话人01(00:26:15): 咱们先找一找吧！

说话人02(00:26:17): 要找的话我们就得先进去！

说话人01(00:26:21): 能看看他？

说话人03(00:26:22): 你试试过去先！

说话人01(00:26:29): 看看他面相看邪不邪恶。

说话人03(00:26:34): 你一边死去吧，你没有真正邪恶。哪他妈来的侦测邪恶？

说话人01(00:26:43): 就现在就。

说话人03(00:26:44): 侦测三恶没有发这个魔法给你侦测不了一点，给我一边死去。

说话人01(00:26:50): 那我们看附近有没有什么隐藏的？

说话人03(00:26:52): 不行，还有两你们四打一还怕输吧？

说话人01(00:26:55): 操作指的。

说话人03(00:26:57): 我说白了在犹豫些什么？

说话人01(00:27:00): 那我们就杀了他吧，情况紧紧急！我们把遇见的所有人都杀了吧？来吧，四打一？

说话人03(00:27:10): 你四打一还怕打不过他吗？

说话人02(00:27:10): 二打一，这俩东西一直拖着我们走在我们晕了之后。

说话人01(00:27:17): 行，那你们二打一吧！

说话人03(00:27:20): 谁去说话？

