说话人01(00:00:00): 我看里面对照的，这都是。

说话人02(00:00:04): 来吧！随便写吧，要写新名字就写新名字，虽然一只老鼠叫做小玉。

说话人03(00:00:09): 你你。你们俩起什么新名字？

说话人01(00:00:14): 我们是一不是。

说话人04(00:00:16): 我要叫喵喵。

说话人01(00:00:18): 不是喵喵你你太有攻击性了。

说话人02(00:00:23): 一只老鼠叫喵喵？

说话人01(00:00:23): 对我们太太有攻击性了，你一个喵喵对我们太有攻击性了。

说话人02(00:00:25): 到时候我就派猫军团来挠你有玉一只小老鼠取得？

说话人01(00:00:31): 我叫我叫土拨鼠。

说话人03(00:00:37): 你复制粘贴。

说话人02(00:00:40): 我没有打开。

说话人01(00:00:41): 我叫土拨鼠。

说话人02(00:00:41): 另外一边好，那你投3d6吧，首先投力量。9点力量再投第二个3d6给敏捷。

说话人03(00:00:58): Ok应结石？

说话人02(00:00:59): 10点敏捷那很好不对。是保保留最高的两个是四三那第一个其实是七，我靠，第一个是七。第二个是对八。

说话人03(00:01:14): 第二个八？来第三个。不也是！

说话人01(00:01:21): 相信你了！

说话人03(00:01:24): 已经习惯了。

说话人02(00:01:25): 来投第六你的 hp？3点高达3点的 hp，太棒了，没事，你的总血量力量加 hp，然后来再投一个 d6决定一下你的初始曼妮，我也不知道为什么初始曼妮就这么点，他想干嘛？

说话人03(00:01:50): 不知道，我估计是个二吧，不是一就行，我已经很。

说话人02(00:01:55): 高达2p 的？

说话人03(00:02:01): 我已经想好了，只要不是一一切好说。

说话人02(00:02:03): 你的老鼠最高属性在九以下，在背景表上可以在没事，我们先来看背景表投2d6。

说话人02(00:02:26): 二第六那首先取一一的。等等好像对因为你是再取一遍，不过我得先取你背景表上的两件物将 hp 和 ok hp3然后那就是三二，我看一眼三二是蝙蝠教徒背景。

说话人03(00:03:03): 那是什么？我还打蝙蝠了，我好厉害！为什么我的 hp 不是二？我看到了一个一锁。

说话人02(00:03:18): 蝙蝠教徒。

说话人03(00:03:18): 为什么不能钓鱼？

说话人02(00:03:21): 物品的话是一个法术黑暗。黑暗还有一个，因为你是几在九尾下再来一袋蝙蝠牙一袋蝙蝠牙。有一些是不是这么算的好像？Shut down.两背景表上的两件物，对是两件物品没有问题，北京表也是从这取出来的。Ok，确实，那这边再投了一个是1212里面。盾与皮甲和锅盖二选一。

说话人03(00:04:47): 那肯定要锅盖！

说话人02(00:04:49): 雷霆大锅盖。

说话人03(00:04:53): 那肯定要锅盖，你问他们俩，他们俩会不会选大锅盖？

说话人01(00:04:58): 不，我会选皮甲？

说话人03(00:04:59): 我不信。

说话人01(00:05:01): 信我的永生。

说话人02(00:05:05): 信信他俩全都有了，那就继续往下了，选一下你的星象，第六星象。

说话人03(00:05:18): 全随机是六？

说话人02(00:05:24): 其实星象也可以选你想选的话。

说话人03(00:05:29): 不用了，都已经盲盒了，然后。

